IDs	Inferred_sex
Bmys01	female
Bmys02	male
Bmys03	male
Bmys04	male
Bmys05	male
Bmys06	male
Bmys07	male
Bmys08	female
Bmys09	male
Bmys10	female
Bmys11	male
Bmys12	male
Bmys13	female
Bmys14	female
Bmys15	female
Bmys16	male
Bmys17	female
Bmys18	female
Bmys19	female
Bmys20	male
Bmys21	male
Bmys22	male
Bmys23	male
Bmys24	male
Bmys25	male
Bmys26	male
Bmys27	female
Bmys28	male
Bmys29	female
Bmys30	male
Bmys31	female
Bmys32	female
Bmys33	male
Bmys34	female
Bmys35	female
Bmys36	female
Bmys37	female
Bmys38	male
Bmys39	female
Bmys40	female
Bmys41	female
Bmys42	female
Bmys43	female
Bmys44	female
Bmys45	female
Bmys46	female
Bmys47	female
Bmys48	male
Bmys49	male
Bmys50	male
Bmys51	female
Bmys52	male
Bmys53	female
Bmys54	male
Bmys55	male
Bmys56	male
Bmys57	male
Bmys58	female
Bmys59	female
Bmys60	male
