IDs	inferred_sex
Bphy01	female
Bphy02	male
Bphy03	female
Bphy04	male
Bphy05	female
Bphy06	male
Bphy07	male
Bphy08	female
Bphy09	male
Bphy10	male
Bphy11	female
Bphy12	male
Bphy13	female
Bphy14	female
Bphy15	female
Bphy16	female
Bphy17	female
Bphy18	female
Bphy19	female
Bphy20	female
Bphy21	male
Bphy22	male
Bphy23	male
Bphy24	male
Bphy25	female
Bphy26	female
Bphy27	female
Bphy28	female
Bphy29	male
Bphy30	female
Bphy31	female
Bphy32	male
Bphy33	male
Bphy34	female
Bphy35	male
Bphy36	male
Bphy37	female
Bphy38	male
Bphy39	male
Bphy40	male
Bphy41	male
Bphy42	male
Bphy43	female
Bphy44	male
Bphy45	male
Bphy46	male
Bphy47	male
Bphy48	female
Bphy49	female
Bphy50	female
Bphy51	male
Bphy52	female
Bphy53	female
Bphy54	male
Bphy55	female
Bphy56	male
Bphy57	male
Bphy58	female
Bphy59	female
Bphy60	male
